LeagueId;Home;Away
USA_USLLeagueTwo_Southeast_2026;Inter Gainesville;Brooke House
USA_USLLeagueTwo_Northeast_2026;Boston Bolts;Western Mass Pioneers
USA_USLLeagueTwo_SouthAtlantic_2026;Charlotte Eagles;Hickory
USA_USLLeagueTwo_GreatForest_2026;Erie Sports Center;Akron City
USA_USLLeagueTwo_GreatLakes_2026;Kalamazoo FC;Oakland County
USA_USLLeagueTwo_GreatLakes_2026;Midwest United;Flint City
USA_USLLeagueTwo_Chesapeake_2026;Patuxent;Hill City
USA_USLLeagueTwo_MidAtlantic_2026;Reading;Eagle FC
USA_USLLeagueTwo_Chesapeake_2026;Virginia Marauders;Annapolis Blues
USA_USLLeagueTwo_MidSouth_2026;Memphis FC;Mississippi Brilla
USA_USLLeagueTwo_GreatPlains_2026;Sunflower State;Menace
USA_USLLeagueTwo_Ranger_2026;Fort Worth Vaqueros;McKinney Chupacabras
USA_USLLeagueTwo_Mountain_2026;Colorado Storm;CISA
USA_USLLeagueTwo_Northwest_2026;Snohomish United;Tacoma Stars
USA_USLLeagueTwo_Northwest_2026;Portland Bangers;FC Olympia
USA_USLLeagueTwo_Southwest_2026;Ventura;Tucson
Australia_NPLNorthernNSW_2026;Newcastle Olympic;Charlestown Azzurri
Australia_NPLQueenslandU23_2026;QLD State Team U17;Peninsula U23
Australia_NPLQueenslandU23_2026;Rochedale U23;Moreton City Excelsior U23