PredictionDate;AlgorithmVersion;LeagueId;Round;Home;Away;Match;Score;Band;HG;AG;Goals;Over25;BTTS
2026-06-28;v13;Norway_3rdDivision_Group1_2026;13;Asker;Ullern;Asker - Ullern;89.62;ALTA;3;2;5;OK;OK
2026-06-28;v13;Iceland_Division_2_2026;21;Kari;Magni;Kari - Magni;87.59;ALTA;1;1;2;KO;OK
2026-06-28;v13;USA_USLLeagueTwo_Metropolitan_2026;24;New Jersey Copa;Ironbound SC;New Jersey Copa - Ironbound SC;87.19;ALTA;1;2;3;OK;OK
2026-06-28;v13;Norway_3rdDivision_Group2_2026;14;Herd;Ntnui;Herd - Ntnui;83.03;ALTA;2;2;4;OK;OK
2026-06-28;v13;Norway_3rdDivision_Group5_2026;12;Ulfstind;Harstad;Ulfstind - Harstad;82.76;ALTA;1;1;2;KO;OK
2026-06-28;v13;Norway_3rdDivision_Group3_2026;13;Sogndal 2;Stord;Sogndal 2 - Stord;81.71;ALTA;0;2;2;KO;KO
2026-06-28;v13;Sweden_Division2_NorraGotaland_2026;15;Husqvarna;Karlstad II;Husqvarna - Karlstad II;80.63;ALTA;3;1;4;OK;OK
2026-06-28;v13;USA_USLLeagueTwo_Heartland_2026;21;Edgewater Castle;Chicago Dutch Lions;Edgewater Castle - Chicago Dutch Lions;79.4;ALTA;0;5;5;OK;KO
2026-06-28;v13;Norway_OBOSLigaen_2026;13;Åsane;Ranheim;Åsane - Ranheim;79.1;ALTA;3;0;3;OK;KO
2026-06-28;v13;Norway_3rdDivision_Group5_2026;12;Fauske Sprint;Floya;Fauske Sprint - Floya;77.68;ALTA;3;1;4;OK;OK
2026-06-28;v13;Iceland_Division_2_2026;21;Dalvik/Reynir;KFA;Dalvik/Reynir - KFA;77.66;ALTA;1;0;1;KO;KO
2026-06-28;v13;Sweden_Division2_NorraGotaland_2026;15;Ahlafors IF;Tord;Ahlafors IF - Tord;77.54;ALTA;2;2;4;OK;OK
2026-06-28;v13;Norway_3rdDivision_Group2_2026;14;Byåsen;Aalesund 2;Byåsen - Aalesund 2;77.15;ALTA;2;1;3;OK;OK
2026-06-28;v13;Norway_OBOSLigaen_2026;13;Strømmen;Moss;Strømmen - Moss;76.81;ALTA;3;2;5;OK;OK
2026-06-28;v13;Norway_2ndDivision_Group1_2026;12;Lysekloster;Brattvag;Lysekloster - Brattvag;75.96;ALTA;1;1;2;KO;OK
2026-06-28;v13;Sweden_Division2_VastraGotaland_2026;15;Astrio;Hestrafors;Astrio - Hestrafors;75.63;ALTA;1;2;3;OK;OK
2026-06-28;v13;Norway_3rdDivision_Group5_2026;12;Bossekop;Kongsvinger 2;Bossekop - Kongsvinger 2;75.54;ALTA;0;2;2;KO;KO
2026-06-28;v13;USA_USLLeagueTwo_Valley_2026;19;West Virginia;Dayton;West Virginia - Dayton;74.9;MEDIA-ALTA;2;1;3;OK;OK
2026-06-28;v13;Iceland_Division_1_2026;16;Volsungur;Grotta;Volsungur - Grotta;74.8;MEDIA-ALTA;2;2;4;OK;OK
2026-06-28;v13;USA_USLLeagueTwo_Heartland_2026;21;Rochester FC;Rockford Raptors;Rochester FC - Rockford Raptors;74.76;MEDIA-ALTA;0;2;2;KO;KO
2026-06-28;v13;Norway_3rdDivision_Group2_2026;14;Ranheim 2;Nardo;Ranheim 2 - Nardo;74.56;MEDIA-ALTA;5;3;8;OK;OK
2026-06-28;v13;Norway_2ndDivision_Group1_2026;12;Vidar;Halden;Vidar - Halden;74.43;MEDIA-ALTA;2;4;6;OK;OK
2026-06-28;v13;Norway_3rdDivision_Group6_2026;13;Lillehammer;Elverum;Lillehammer - Elverum;74.09;MEDIA-ALTA;2;2;4;OK;OK
2026-06-28;v13;Norway_3rdDivision_Group2_2026;14;FK Kvik;Volda TI;FK Kvik - Volda TI;73.65;MEDIA-ALTA;0;2;2;KO;KO
2026-06-28;v13;Norway_3rdDivision_Group1_2026;13;Frigg;Baerum Sportsklubb;Frigg - Baerum Sportsklubb;73.5;MEDIA-ALTA;1;1;2;KO;OK
2026-06-28;v13;Sweden_Division2_SodraGotaland_2026;15;Solvesborgs;Oskarshamn;Solvesborgs - Oskarshamn;73.4;MEDIA-ALTA;1;0;1;KO;KO
2026-06-28;v13;Norway_2ndDivision_Group2_2026;12;Kjelsås;Honefoss;Kjelsås - Honefoss;72.73;MEDIA-ALTA;1;3;4;OK;OK
2026-06-28;v13;Norway_3rdDivision_Group3_2026;13;Brann 2;Fana;Brann 2 - Fana;72.59;MEDIA-ALTA;3;2;5;OK;OK
2026-06-28;v13;Norway_3rdDivision_Group3_2026;13;Djerv 1919;Gneist;Djerv 1919 - Gneist;71.07;MEDIA-ALTA;6;2;8;OK;OK
2026-06-28;v13;Sweden_Division2_SodraSvealand_2026;15;Eker Orebro;Farsta;Eker Orebro - Farsta;70.51;MEDIA-ALTA;1;4;5;OK;OK
2026-06-28;v13;Sweden_Division2_NorraSvealand_2026;15;IK Franke;Viggbyholms;IK Franke - Viggbyholms;70.31;MEDIA-ALTA;1;2;3;OK;OK
2026-06-28;v13;Finland_Veikkausliiga_2026;16;Mariehamn;Inter Turku;Mariehamn - Inter Turku;69.98;MEDIA-ALTA;0;2;2;KO;KO
2026-06-28;v13;Norway_OBOSLigaen_2026;13;Haugesund;Kongsvinger;Haugesund - Kongsvinger;69.85;MEDIA-ALTA;4;2;6;OK;OK
2026-06-28;v13;Norway_3rdDivision_Group2_2026;14;Orkla;Molde 2;Orkla - Molde 2;69.71;MEDIA-ALTA;3;5;8;OK;OK
2026-06-28;v13;Norway_OBOSLigaen_2026;13;Sogndal;Egersund;Sogndal - Egersund;69.07;MEDIA-ALTA;4;2;6;OK;OK
2026-06-28;v13;Norway_2ndDivision_Group2_2026;12;Ull/Kisa;Rana FK;Ull/Kisa - Rana FK;68.86;MEDIA-ALTA;1;3;4;OK;OK
2026-06-28;v13;Sweden_Division2_NorraSvealand_2026;15;Falu;Lidingo IFK;Falu - Lidingo IFK;68.75;MEDIA-ALTA;2;0;2;KO;KO
2026-06-28;v13;Sweden_Superettan_2026;14;Sundsvall;Östersund;Sundsvall - Östersund;68.61;MEDIA-ALTA;0;2;2;KO;KO
2026-06-28;v13;Iceland_Division_1_2026;16;Throttur;Vestri;Throttur - Vestri;68.58;MEDIA-ALTA;1;1;2;KO;OK
2026-06-28;v13;Norway_3rdDivision_Group4_2026;13;Madla IL;Mandalskameratene;Madla IL - Mandalskameratene;68.42;MEDIA-ALTA;2;2;4;OK;OK
2026-06-28;v13;Norway_3rdDivision_Group6_2026;13;Fram;Drobak-Frogn;Fram - Drobak-Frogn;68.4;MEDIA-ALTA;1;1;2;KO;OK
2026-06-28;v13;Norway_2ndDivision_Group1_2026;12;Traeff;Eik-Tonsberg;Traeff - Eik-Tonsberg;68.38;MEDIA-ALTA;3;1;4;OK;OK
2026-06-28;v13;Sweden_Division2_SodraGotaland_2026;15;Osterlen;Karlskrona;Osterlen - Karlskrona;68.2;MEDIA-ALTA;0;3;3;OK;KO
2026-06-28;v13;Norway_3rdDivision_Group1_2026;13;Grei;Nordstrand;Grei - Nordstrand;67.35;MEDIA-ALTA;1;5;6;OK;OK
2026-06-28;v13;Norway_3rdDivision_Group6_2026;13;Orn;Sandefjord 2;Orn - Sandefjord 2;67.33;MEDIA-ALTA;4;3;7;OK;OK
2026-06-28;v13;Iceland_Division_2_2026;21;Olafsvik;KFG Gardabaer;Olafsvik - KFG Gardabaer;67.11;MEDIA-ALTA;1;0;1;KO;KO
2026-06-28;v13;Norway_3rdDivision_Group3_2026;13;Askoy;Forde;Askoy - Forde;67.09;MEDIA-ALTA;2;0;2;KO;KO
2026-06-28;v13;Norway_OBOSLigaen_2026;13;Sandnes;Raufoss;Sandnes - Raufoss;67.02;MEDIA-ALTA;3;0;3;OK;KO
2026-06-28;v13;Norway_OBOSLigaen_2026;13;Stabaek;Bryne;Stabaek - Bryne;66.91;MEDIA-ALTA;2;0;2;KO;KO
2026-06-28;v13;USA_USLLeagueTwo_Valley_2026;19;Louisville City 2;Kings Hammer Columbus;Louisville City 2 - Kings Hammer Columbus;66.77;MEDIA-ALTA;2;0;2;KO;KO
2026-06-28;v13;Norway_3rdDivision_Group2_2026;14;Rosenborg 2;Spjelkavik;Rosenborg 2 - Spjelkavik;66.3;MEDIA-ALTA;2;1;3;OK;OK
2026-06-28;v13;Sweden_Division1_Sodra_2026;14;Laholms;Utsikten;Laholms - Utsikten;64.59;MEDIA-ALTA;3;1;4;OK;OK
2026-06-28;v13;Norway_OBOSLigaen_2026;13;Strömsgodset;Odd;Strömsgodset - Odd;64.47;MEDIA-ALTA;2;2;4;OK;OK
2026-06-28;v13;Norway_2ndDivision_Group1_2026;12;Mjondalen;Bjarg;Mjondalen - Bjarg;64.04;MEDIA-ALTA;1;0;1;KO;KO
2026-06-28;v13;Sweden_Division2_NorraSvealand_2026;15;Bollstanas;Korsnas;Bollstanas - Korsnas;63.28;MEDIA-ALTA;5;1;6;OK;OK
2026-06-28;v13;Sweden_Division2_SodraSvealand_2026;15;Haninge;Sleipner;Haninge - Sleipner;63.26;MEDIA-ALTA;6;1;7;OK;OK
2026-06-28;v13;Sweden_Division1_Sodra_2026;14;Atvidaberg;Rosengard;Atvidaberg - Rosengard;62.68;MEDIA-ALTA;3;3;6;OK;OK
2026-06-28;v13;Sweden_Division2_NorraGotaland_2026;15;Motala;Vanersborgs FK;Motala - Vanersborgs FK;62.35;MEDIA-ALTA;0;1;1;KO;KO
2026-06-28;v13;Norway_3rdDivision_Group6_2026;13;Oppsal;Raelingen;Oppsal - Raelingen;62.23;MEDIA-ALTA;3;1;4;OK;OK
2026-06-28;v13;Sweden_Division1_Sodra_2026;14;AFC Malmo;Jonkoping;AFC Malmo - Jonkoping;62.18;MEDIA-ALTA;1;0;1;KO;KO
2026-06-28;v13;Sweden_Division1_Norra_2026;15;Gefle;Stocksund;Gefle - Stocksund;61.13;MEDIA-ALTA;2;1;3;OK;OK
2026-06-28;v13;Sweden_Superettan_2026;14;Varberg;Öster;Varberg - Öster;61.05;MEDIA-ALTA;2;1;3;OK;OK
2026-06-28;v13;Finland_Veikkausliiga_2026;16;Oulu;Lahti;Oulu - Lahti;60.15;MEDIA-ALTA;1;1;2;KO;OK
2026-06-28;v13;Sweden_Division1_Sodra_2026;14;Trollhättan;Angelholm;Trollhättan - Angelholm;59.6;MEDIA;1;1;2;KO;OK
2026-06-28;v13;Iceland_Division_2_2026;21;Kormakur/Hvot;Hviti;Kormakur/Hvot - Hviti;59.54;MEDIA;4;0;4;OK;KO
2026-06-28;v13;Sweden_Division2_VastraGotaland_2026;15;Astorps;Torslanda;Astorps - Torslanda;59.31;MEDIA;1;1;2;KO;OK
2026-06-28;v13;Sweden_Division1_Sodra_2026;14;Lunds;Skövde;Lunds - Skövde;59.21;MEDIA;2;1;3;OK;OK
2026-06-28;v13;Sweden_Division2_NorraSvealand_2026;15;Taby;Gute;Taby - Gute;58.89;MEDIA;2;1;3;OK;OK
2026-06-28;v13;Norway_2ndDivision_Group2_2026;12;Lørenskog;Grorud;Lørenskog - Grorud;58.59;MEDIA;1;0;1;KO;KO
2026-06-28;v13;Finland_Veikkausliiga_2026;16;Ilves;SJK;Ilves - SJK;58.38;MEDIA;2;2;4;OK;OK
2026-06-28;v13;Finland_Veikkausliiga_2026;16;TPS Turku;Jaro;TPS Turku - Jaro;58.3;MEDIA;3;2;5;OK;OK
2026-06-28;v13;Sweden_Division2_SodraGotaland_2026;15;Rappe GOIF;Staffanstorp United;Rappe GOIF - Staffanstorp United;58.22;MEDIA;1;4;5;OK;OK
2026-06-28;v13;Norway_OBOSLigaen_2026;13;Lyn;Hodd;Lyn - Hodd;56.99;MEDIA;1;4;5;OK;OK
2026-06-28;v13;Sweden_Division2_SodraGotaland_2026;15;Nosaby;IFK Trelleborg;Nosaby - IFK Trelleborg;56.16;MEDIA;;;;;
2026-06-28;v13;Sweden_Division1_Norra_2026;15;Stockholm Internazionale;Enkoping SK;Stockholm Internazionale - Enkoping SK;55.15;MEDIA;2;0;2;KO;KO
2026-06-28;v13;Norway_2ndDivision_Group1_2026;12;Pors;Arendal;Pors - Arendal;54.4;MEDIA;2;4;6;OK;OK
2026-06-28;v13;Norway_2ndDivision_Group1_2026;12;Sandviken;Notodden;Sandviken - Notodden;54.13;MEDIA;0;4;4;OK;KO
2026-06-28;v13;Sweden_Superettan_2026;14;Nordic United;Oddevold;Nordic United - Oddevold;54.04;MEDIA;3;3;6;OK;OK
2026-06-28;v13;Finland_Veikkausliiga_2026;16;HJK;KuPS;HJK - KuPS;50.79;MEDIA;0;4;4;OK;KO
2026-06-28;v13;USA_USLLeagueTwo_GreatForest_2026;22;Buffalo;Steel City;Buffalo - Steel City;50.3;MEDIA;1;1;2;KO;OK
2026-06-28;v13;Finland_Veikkausliiga_2026;16;Gnistan;VPS;Gnistan - VPS;49.78;MEDIA;1;1;2;KO;OK
2026-06-28;v13;Sweden_Division1_Norra_2026;15;Arlanda;Karlstad;Arlanda - Karlstad;45.34;MEDIA;1;0;1;KO;KO
2026-06-28;v13;Sweden_Superettan_2026;14;Ljungskile;Örebro;Ljungskile - Örebro;43.84;BASSA;3;2;5;OK;OK
2026-06-28;v13;Norway_3rdDivision_Group3_2026;13;Åsane 2;OS;Åsane 2 - OS;91.5;ALTA;3;5;8;OK;OK
2026-06-28;v13;Norway_3rdDivision_Group1_2026;13;Konnerud;Ready;Konnerud - Ready;87.73;ALTA;0;1;1;KO;KO
2026-06-28;v13;Sweden_Division2_NorraSvealand_2026;15;Helges;Sunnersta AIF;Helges - Sunnersta AIF;82.1;ALTA;0;3;3;OK;KO
2026-06-28;v13;Sweden_Division2_SodraSvealand_2026;15;Nykopings;Nacka FC;Nykopings - Nacka FC;81.44;ALTA;4;1;5;OK;OK
2026-06-28;v13;Sweden_Division2_NorraGotaland_2026;15;IFK Skovde;Lidkoping;IFK Skovde - Lidkoping;79.8;ALTA;1;2;3;OK;OK
2026-06-28;v13;Iceland_BestaDeildKarla_2026;17;Breidablik;Vikingur Reykjavik;Breidablik - Vikingur Reykjavik;79.4;ALTA;1;4;5;OK;OK
2026-06-28;v13;Norway_3rdDivision_Group3_2026;13;Austevoll;Fyllingsdalen;Austevoll - Fyllingsdalen;77.74;ALTA;2;0;2;KO;KO
2026-06-28;v13;Norway_3rdDivision_Group6_2026;13;Brumunddal;SK Gjovik-Lyn;Brumunddal - SK Gjovik-Lyn;75.6;ALTA;0;3;3;OK;KO
2026-06-28;v13;Norway_3rdDivision_Group2_2026;14;Strindheim;Melhus;Strindheim - Melhus;74.05;MEDIA-ALTA;2;1;3;OK;OK
2026-06-28;v13;Norway_3rdDivision_Group4_2026;13;Staal Jorpeland;Hinna;Staal Jorpeland - Hinna;73.72;MEDIA-ALTA;1;1;2;KO;OK
2026-06-28;v13;Norway_3rdDivision_Group4_2026;13;Vag;Viking 2;Vag - Viking 2;72.2;MEDIA-ALTA;3;2;5;OK;OK
2026-06-28;v13;Sweden_Division2_VastraGotaland_2026;15;Galtabacks BK;Boljan;Galtabacks BK - Boljan;63.92;MEDIA-ALTA;0;0;0;KO;KO
2026-06-28;v13;Australia_TasmaniaSouthernChampionship_2026;13;Olympia Warriors;University of Tasmania;Olympia Warriors - University of Tasmania;90.59;ALTA;4;2;6;OK;OK
2026-06-28;v13;Australia_TasmaniaSouthernChampionship_2026;13;Glenorchy Knights U21;South Hobart U21;Glenorchy Knights U21 - South Hobart U21;90.5;ALTA;2;4;6;OK;OK
2026-06-28;v13;Australia_NPLQueensland_2026;17;Rochedale;Gold Coast Knights;Rochedale - Gold Coast Knights;82.54;ALTA;4;1;5;OK;OK
2026-06-28;v13;Australia_NSWLeagueOne_2026;22;Blacktown Spartans;Rydalmere Lions;Blacktown Spartans - Rydalmere Lions;72.43;MEDIA-ALTA;3;1;4;OK;OK
2026-06-28;v13;Australia_QueenslandPremierLeague_2026;17;Holland Park Hawks;Redlands;Holland Park Hawks - Redlands;72.38;MEDIA-ALTA;1;4;5;OK;OK
2026-06-28;v13;Australia_VictoriaPremierLeague2_2026;19;Keilor Park;Moreland City;Keilor Park - Moreland City;70.2;MEDIA-ALTA;2;0;2;KO;KO
2026-06-28;v13;Australia_NPLVictoria_2026;19;Dandenong City;Avondale FC;Dandenong City - Avondale FC;68.3;MEDIA-ALTA;3;1;4;OK;OK
2026-06-28;v13;Australia_NPL_NSW_U20_2026;22;Sydney FC U20;Sydney Utd U20;Sydney FC U20 - Sydney Utd U20;67.45;MEDIA-ALTA;5;5;10;OK;OK
2026-06-28;v13;Australia_SAStateLeague_2026;17;Eastern United;Cumberland Utd.;Eastern United - Cumberland Utd.;66.53;MEDIA-ALTA;0;1;1;KO;KO
2026-06-28;v13;Australia_QueenslandPremierLeague_2026;17;Brisbane Strikers;Ipswich;Brisbane Strikers - Ipswich;65.15;MEDIA-ALTA;1;0;1;KO;KO
2026-06-28;v13;Australia_NPLWesternAustralia_2026;17;Bayswater City;Perth RedStar;Bayswater City - Perth RedStar;64.85;MEDIA-ALTA;3;0;3;OK;KO
2026-06-28;v13;Australia_NPLVictoria_2026;19;St Albans;Melbourne City U21;St Albans - Melbourne City U21;63.85;MEDIA-ALTA;0;2;2;KO;KO
2026-06-28;v13;Australia_NPLVictoria_2026;19;Heidelberg;Oakleigh;Heidelberg - Oakleigh;62.74;MEDIA-ALTA;0;1;1;KO;KO
2026-06-28;v13;Australia_NPLVictoria_2026;19;Bentleigh;Altona Magic;Bentleigh - Altona Magic;56.83;MEDIA;0;1;1;KO;KO
2026-06-28;v13;Australia_NPLNSW_2026;22;Sydney FC U23;Sydney Utd;Sydney FC U23 - Sydney Utd;54.39;MEDIA;1;0;1;KO;KO
2026-06-28;v13;USA_USLLeagueTwo_Mountain_2026;23;Flatirons FC;Utah United;Flatirons FC - Utah United;54.27;MEDIA;;;;;
